x,y,z,pitch,yaw,ok,err
0.25,-0.2,0.02,0.45,-0.6,1,7.429890426371457e-05
0.25,-0.2,0.02,0.45,-0.3,1,6.465220353290948e-05
0.25,-0.2,0.02,0.45,0.0,1,9.479779097824916e-05
0.25,-0.2,0.02,0.45,0.3,1,9.526942388538996e-05
0.25,-0.2,0.02,0.45,0.6,1,7.611610504168066e-05
0.25,-0.2,0.02,0.675,-0.6,1,6.07044948449892e-05
0.25,-0.2,0.02,0.675,-0.3,1,6.126920319425102e-05
0.25,-0.2,0.02,0.675,0.0,1,6.943892082896017e-05
0.25,-0.2,0.02,0.675,0.3,1,9.647765207801594e-05
0.25,-0.2,0.02,0.675,0.6,1,8.252432788021659e-05
0.25,-0.2,0.02,0.9,-0.6,1,7.064541781841836e-05
0.25,-0.2,0.02,0.9,-0.3,1,7.732366377716448e-05
0.25,-0.2,0.02,0.9,0.0,1,5.425625126732529e-05
0.25,-0.2,0.02,0.9,0.3,1,7.81427361656476e-05
0.25,-0.2,0.02,0.9,0.6,1,9.798896507372719e-05
0.25,-0.2,0.02,1.2,-0.6,1,9.012123235533014e-05
0.25,-0.2,0.02,1.2,-0.3,1,5.5590839161436284e-05
0.25,-0.2,0.02,1.2,0.0,1,7.128402416104162e-05
0.25,-0.2,0.02,1.2,0.3,1,5.5186795118319245e-05
0.25,-0.2,0.02,1.2,0.6,1,8.216778699976755e-05
0.25,-0.2,0.02,1.57,-0.6,1,6.304541220487565e-05
0.25,-0.2,0.02,1.57,-0.3,1,5.106785339972444e-05
0.25,-0.2,0.02,1.57,0.0,1,8.160714473107793e-05
0.25,-0.2,0.02,1.57,0.3,1,5.354871431309961e-05
0.25,-0.2,0.02,1.57,0.6,1,6.637705196666687e-05
0.25,-0.2,0.06,0.0,-0.6,0,0.47622170585057383
0.25,-0.2,0.06,0.0,-0.3,0,0.3144787148539877
0.25,-0.2,0.06,0.0,0.0,0,0.18399342918740355
0.25,-0.2,0.06,0.0,0.3,0,0.00337463332224026
0.25,-0.2,0.06,0.0,0.6,0,0.12905831388874042
0.25,-0.2,0.06,0.225,-0.6,0,0.027513405673851847
0.25,-0.2,0.06,0.225,-0.3,1,9.828972216114453e-05
0.25,-0.2,0.06,0.225,0.0,1,5.326064725752904e-05
0.25,-0.2,0.06,0.225,0.3,1,8.289651218515617e-05
0.25,-0.2,0.06,0.225,0.6,1,8.868038827398982e-05
0.25,-0.2,0.06,0.45,-0.6,1,5.3408600104642615e-05
0.25,-0.2,0.06,0.45,-0.3,1,9.65946639869075e-05
0.25,-0.2,0.06,0.45,0.0,1,9.315611079126447e-05
0.25,-0.2,0.06,0.45,0.3,1,8.603179817172228e-05
0.25,-0.2,0.06,0.45,0.6,1,8.502285057679884e-05
0.25,-0.2,0.06,0.675,-0.6,1,5.858993713153534e-05
0.25,-0.2,0.06,0.675,-0.3,1,6.127332923645895e-05
0.25,-0.2,0.06,0.675,0.0,1,7.210873880754423e-05
0.25,-0.2,0.06,0.675,0.3,1,9.763718545188237e-05
0.25,-0.2,0.06,0.675,0.6,1,8.976193873041256e-05
0.25,-0.2,0.06,0.9,-0.6,1,7.040822863681896e-05
0.25,-0.2,0.06,0.9,-0.3,1,7.85278357901221e-05
0.25,-0.2,0.06,0.9,0.0,1,5.787353919254926e-05
0.25,-0.2,0.06,0.9,0.3,1,5.563152151303241e-05
0.25,-0.2,0.06,0.9,0.6,1,9.166360943543345e-05
0.25,-0.2,0.06,1.2,-0.6,1,8.943225122049229e-05
0.25,-0.2,0.06,1.2,-0.3,1,5.5346591709247404e-05
0.25,-0.2,0.06,1.2,0.0,1,6.597331232926872e-05
0.25,-0.2,0.06,1.2,0.3,1,6.265335053471394e-05
0.25,-0.2,0.06,1.2,0.6,1,5.895115675679783e-05
0.25,-0.2,0.06,1.57,-0.6,1,6.0566447442006185e-05
0.25,-0.2,0.06,1.57,-0.3,1,9.173094206806175e-05
0.25,-0.2,0.06,1.57,0.0,1,5.794809817221345e-05
0.25,-0.2,0.06,1.57,0.3,1,5.786946583707185e-05
0.25,-0.2,0.06,1.57,0.6,1,7.451950705079596e-05
0.25,-0.2,0.1,0.0,-0.6,0,0.10496567570902143
0.25,-0.2,0.1,0.0,-0.3,0,0.2942079622996704
0.25,-0.2,0.1,0.0,0.0,0,0.16920124183114094
